City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,beaufort west,-32.3567,22.583,13.0,83,100,4.52,ZA,1712638166
324,fomboni,-12.28,43.7425,28.82,76,100,3.35,KM,1712638167
325,mildura,-34.2,142.15,18.93,43,1,8.01,AU,1712638168
326,turmalina,-17.2856,-42.73,16.91,92,100,0.58,BR,1712638169
327,trairi,-3.2778,-39.2689,24.48,96,100,3.58,BR,1712638170
328,mancora,-4.1078,-81.0475,25.37,68,67,2.93,PE,1712638140
329,kon tum,14.35,108.0,38.3,20,72,5.1,VN,1712638171
330,buenavista,8.9769,125.4089,31.24,56,100,4.07,PH,1712638172
331,northam,51.0333,-4.2167,8.7,94,100,16.09,GB,1712638173
332,east london,-33.0153,27.9116,17.52,100,40,1.54,ZA,1712637933
333,hadibu,12.65,54.0333,27.92,64,86,1.07,YE,1712638174
334,abatskoye,56.2875,70.4555,2.87,81,100,3.45,RU,1712638175
335,och'amch'ire,42.7123,41.4686,14.21,70,22,1.28,GE,1712638176
336,chos malal,-37.3781,-70.2709,15.73,55,100,1.45,AR,1712638177
337,vorkuta,67.5,64.0,-19.16,96,99,1.68,RU,1712638178
338,brezina,33.0989,1.2608,15.72,42,86,11.75,DZ,1712638179
339,kargasok,59.0556,80.8572,-0.58,97,100,3.13,RU,1712638180
340,letlhakeng,-24.0944,25.0298,14.89,59,76,2.87,BW,1712638181
341,shakawe,-18.3667,21.85,19.58,89,63,1.65,BW,1712638181
342,lescar,43.3333,-0.4167,8.17,87,75,6.69,FR,1712638182
343,kerikeri,-35.2268,173.9474,21.62,83,95,2.9,NZ,1712638183
344,magadan,59.5667,150.8,-3.04,85,85,0.72,RU,1712638184
345,richards bay,-28.783,32.0377,20.84,86,5,6.8,ZA,1712638184
346,dunedin,-45.8742,170.5036,15.45,80,100,1.79,NZ,1712638061
347,ocean city,39.2776,-74.5746,11.17,80,100,1.79,US,1712638186
348,mweka,-4.85,21.5667,20.0,92,87,0.37,CD,1712638187
349,moramanga,-18.9333,48.2,20.98,81,88,0.31,MG,1712638188
350,alamosa,37.4695,-105.87,-1.01,69,75,0.0,US,1712638189
351,sao vicente,-23.9631,-46.3919,25.1,26,60,0.45,BR,1712638136
352,beitbridge,-22.2167,30.0,19.34,92,100,1.82,ZW,1712638191
353,nagqu,31.5,92.0,2.76,20,100,4.4,CN,1712638191
354,scottsburg,38.6856,-85.7702,18.21,76,93,3.25,US,1712638192
355,al bardiyah,31.7561,25.0865,14.76,72,0,4.26,LY,1712638193
356,kotli,33.5167,73.9167,27.25,20,1,0.69,PK,1712638194
357,aiquile,-18.2041,-65.1807,14.64,88,100,1.49,BO,1712638195
358,aroma,15.8167,36.1333,26.43,8,55,5.15,SD,1712638196
359,santa terezinha,-29.9002,-50.0904,21.97,87,0,0.95,BR,1712638198
360,cape canaveral,28.4058,-80.6048,22.21,68,0,5.14,US,1712638199
361,svirsk,53.0858,103.3325,6.95,53,16,2.81,RU,1712638200
362,rio grande,-32.035,-52.0986,19.41,90,5,2.94,BR,1712638184
